CASC3	interacts-with	NFKB1
CASC3	interacts-with	ERN1
CASC3	interacts-with	RARA
CASC3	interacts-with	CNTD1
CASC3	interacts-with	APOBEC3D
CASC3	interacts-with	SF3B3
CASC3	interacts-with	H2AFY
CASC3	interacts-with	OPA1
CASC3	interacts-with	NDC1
CASC3	interacts-with	EZH2
CASC3	interacts-with	TP53
CASC3	interacts-with	ACVR2B
CASC3	interacts-with	CDH5
CASC3	interacts-with	EP300
CASC3	interacts-with	TCEAL1
CASC3	interacts-with	TSC1
CASC3	interacts-with	IL6
CASC3	interacts-with	ERBB2
CASC3	interacts-with	TNF
CASC3	interacts-with	PML
CASC3	interacts-with	NUFIP2
CASC3	interacts-with	LARP4B
CASC3	interacts-with	RBM22
CASC3	interacts-with	CTH
CASC3	interacts-with	PABPN1
CASC3	interacts-with	PSPC1
CASC3	interacts-with	ZNF143
CASC3	interacts-with	DHX16
CASC3	interacts-with	FKBP9
CASC3	interacts-with	DDX50
CASC3	interacts-with	LUC7L
CASC3	interacts-with	CSNK1D
CASC3	interacts-with	ISY1-RAB43
CASC3	interacts-with	EIF3M
CASC3	interacts-with	MIF4GD
CASC3	interacts-with	HMOX1
CASC3	interacts-with	TIA1
CASC3	interacts-with	NR2C2
CASC3	interacts-with	UPF3B
CASC3	interacts-with	TFCP2L1
CASC3	interacts-with	NUP62
CASC3	interacts-with	USP7
CASC3	interacts-with	SNRPF
CASC3	interacts-with	RBMS2
CASC3	interacts-with	EIF3G
CASC3	interacts-with	DAZAP1
CASC3	interacts-with	RBM47
CASC3	interacts-with	PAIP1
CASC3	interacts-with	SF3A3
CASC3	interacts-with	THRSP
CASC3	interacts-with	MIR597
CASC3	interacts-with	SNRPD3
CASC3	interacts-with	VTI1B
CASC3	interacts-with	MIR576
CASC3	interacts-with	MIR196A2
CASC3	interacts-with	MIR182
CASC3	interacts-with	MIR132
CASC3	interacts-with	MIR449A
CASC3	interacts-with	MIR486-2
CASC3	interacts-with	MIR96
CASC3	interacts-with	MIR125B2
CASC3	interacts-with	MIR103A2
CASC3	interacts-with	MIR218-2
CASC3	interacts-with	MIR221
CASC3	interacts-with	SNRPG
CASC3	interacts-with	ERH
CASC3	interacts-with	MIR185
CASC3	interacts-with	MIRLET7D
CASC3	interacts-with	MIRLET7G
CASC3	interacts-with	MIR876
CASC3	interacts-with	MIR335
CASC3	interacts-with	MIR3184
CASC3	interacts-with	MIR425
CASC3	interacts-with	MIR302A
CASC3	interacts-with	MIR193A
CASC3	interacts-with	MIR125A
CASC3	interacts-with	PSMC6
NFKB1	interacts-with	RAD51
NFKB1	interacts-with	DEPTOR
NFKB1	interacts-with	IGLL5
NFKB1	interacts-with	SSB
NFKB1	interacts-with	NME2
NFKB1	interacts-with	MAP2K2
NFKB1	interacts-with	PHLPP2
NFKB1	interacts-with	CSNK2B
NFKB1	interacts-with	SORL1
NFKB1	interacts-with	CASP5
NFKB1	interacts-with	COL1A2
NFKB1	interacts-with	ACKR3
NFKB1	interacts-with	HMGB1
NFKB1	interacts-with	FAM129B
NFKB1	interacts-with	ABCB4
NFKB1	interacts-with	ERH
NFKB1	interacts-with	TRIM26
NFKB1	interacts-with	PHLDA1
NFKB1	interacts-with	GCSH
NFKB1	interacts-with	MIR99B
NFKB1	interacts-with	FBLIM1
NFKB1	interacts-with	ALDH1A2
NFKB1	interacts-with	CS
NFKB1	interacts-with	LPIN2
NFKB1	interacts-with	DEPDC1
NFKB1	interacts-with	DVL2
NFKB1	interacts-with	ACKR1
NFKB1	interacts-with	GLI3
NFKB1	interacts-with	SMC2
NFKB1	interacts-with	COL2A1
NFKB1	interacts-with	VAV3
NFKB1	interacts-with	KLF7
NFKB1	interacts-with	FZD3
NFKB1	interacts-with	LINC00665
NFKB1	interacts-with	KLRD1
NFKB1	interacts-with	FARSA
NFKB1	interacts-with	DCD
NFKB1	interacts-with	BRCA2
NFKB1	interacts-with	TCEA1
NFKB1	interacts-with	HSPA4L
NFKB1	interacts-with	ATP1A4
NFKB1	interacts-with	APLP2
NFKB1	interacts-with	BAP1
NFKB1	interacts-with	MYO5A
NFKB1	interacts-with	TNFSF13
NFKB1	interacts-with	PPP3CA
NFKB1	interacts-with	BTG3
NFKB1	interacts-with	THRSP
NFKB1	interacts-with	CCNL1
NFKB1	interacts-with	NME1
NFKB1	interacts-with	MIR339
NFKB1	interacts-with	ACTG1
NFKB1	interacts-with	RAD50
NFKB1	interacts-with	P4HA2
NFKB1	interacts-with	IL1RAPL2
NFKB1	interacts-with	ARNTL
NFKB1	interacts-with	COL1A1
NFKB1	interacts-with	RAB5B
NFKB1	interacts-with	HMGN1
NFKB1	interacts-with	MIR302A
NFKB1	interacts-with	SUFU
NFKB1	interacts-with	PROX1
NFKB1	interacts-with	MIR1271
NFKB1	interacts-with	HTRA2
NFKB1	interacts-with	PAICS
NFKB1	interacts-with	DPYSL5
NFKB1	interacts-with	KAT8
NFKB1	interacts-with	MIR125B2
NFKB1	interacts-with	MIR885
NFKB1	interacts-with	SP6
NFKB1	interacts-with	CD4
NFKB1	interacts-with	ERN1
NFKB1	interacts-with	HMOX1
NFKB1	interacts-with	MIR873
NFKB1	interacts-with	NUP62
NFKB1	interacts-with	MIR221
NFKB1	interacts-with	ING1
NFKB1	interacts-with	KDM2B
NFKB1	interacts-with	SERPINB2
NFKB1	interacts-with	FOSL1
NFKB1	interacts-with	MBP
NFKB1	interacts-with	TNF
NFKB1	interacts-with	NLRC3
NFKB1	interacts-with	DMD
NFKB1	interacts-with	FUT4
NFKB1	interacts-with	MATN2
NFKB1	interacts-with	PML
NFKB1	interacts-with	RPS6KB1
NFKB1	interacts-with	KTN1
NFKB1	interacts-with	FGF4
NFKB1	interacts-with	ERBB2
NFKB1	interacts-with	MUC6
NFKB1	interacts-with	CNOT3
NFKB1	interacts-with	PPP3CB
NFKB1	interacts-with	ABCB1
NFKB1	interacts-with	TNFSF9
NFKB1	interacts-with	DLL4
NFKB1	interacts-with	UBE2D3
NFKB1	interacts-with	OSM
NFKB1	interacts-with	STOM
NFKB1	interacts-with	TONSL
NFKB1	interacts-with	MIRLET7G
NFKB1	interacts-with	CNP
NFKB1	interacts-with	ABCG5
NFKB1	interacts-with	MIR31
NFKB1	interacts-with	ERBB4
NFKB1	interacts-with	CDH5
NFKB1	interacts-with	LINC01578
NFKB1	interacts-with	PRSS1
NFKB1	interacts-with	SKP2
NFKB1	interacts-with	MIR99A
NFKB1	interacts-with	SELPLG
NFKB1	interacts-with	RDH10
NFKB1	interacts-with	PITPNM3
NFKB1	interacts-with	HDAC9
NFKB1	interacts-with	FBXW11
NFKB1	interacts-with	MIR125A
NFKB1	interacts-with	CISH
NFKB1	interacts-with	RNLS
NFKB1	interacts-with	SP3
NFKB1	interacts-with	NR2F6
NFKB1	interacts-with	TRAF6
NFKB1	interacts-with	GOT1
NFKB1	interacts-with	IL12B
NFKB1	interacts-with	TRAF5
NFKB1	interacts-with	CRTC2
NFKB1	interacts-with	IL1RL2
NFKB1	interacts-with	CRY1
NFKB1	interacts-with	KCNA3
NFKB1	interacts-with	PRG4
NFKB1	interacts-with	PRDX3
NFKB1	interacts-with	NAMPT
NFKB1	interacts-with	FBXW7
NFKB1	interacts-with	TIA1
NFKB1	interacts-with	NR1H3
NFKB1	interacts-with	ARHGAP24
NFKB1	interacts-with	AQP5
NFKB1	interacts-with	MMP2
NFKB1	interacts-with	SRI
NFKB1	interacts-with	XDH
NFKB1	interacts-with	S100A6
NFKB1	interacts-with	SET
NFKB1	interacts-with	KPNA3
NFKB1	interacts-with	ABCG8
NFKB1	interacts-with	MIR1246
NFKB1	interacts-with	ERG
NFKB1	interacts-with	TRAF4
NFKB1	interacts-with	EEF2K
NFKB1	interacts-with	FUCA1
NFKB1	interacts-with	MIR182
NFKB1	interacts-with	PDCD1
NFKB1	interacts-with	VTCN1
NFKB1	interacts-with	CD36
NFKB1	interacts-with	PRL
NFKB1	interacts-with	PAX7
NFKB1	interacts-with	IL4R
NFKB1	interacts-with	CNR1
NFKB1	interacts-with	GCG
NFKB1	interacts-with	DUOX1
NFKB1	interacts-with	UBAP2L
NFKB1	interacts-with	TLR7
NFKB1	interacts-with	TSC1
NFKB1	interacts-with	PRICKLE2
NFKB1	interacts-with	MIR449A
NFKB1	interacts-with	CXCL8
NFKB1	interacts-with	TRIM37
NFKB1	interacts-with	IL6
NFKB1	interacts-with	OVOL2
NFKB1	interacts-with	CYP3A5
NFKB1	interacts-with	TM4SF1
NFKB1	interacts-with	SETD7
NFKB1	interacts-with	BAX
NFKB1	interacts-with	FGFR3
NFKB1	interacts-with	ZNF24
NFKB1	interacts-with	FTO
